Congress,Chamber,Committee,Date,Title,FileName,Link
114th Congress (2015 - 2016),House Hearings,Committee on Ways and Means,11/3/2015,"b""House Hearing, 114th Congress - THE STATE OF OBAMACARE'S CO-OP PROGRAM""",CHRG-114hhrg21367.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21367/html/CHRG-114hhrg21367.htm
114th Congress (2015 - 2016),House Hearings,Committee on Ways and Means,5/18/2016,"b'House Hearing, 114th Congress - PROTECTING SOCIAL SECURITY FROM WASTE, FRAUD, AND ABUSE'",CHRG-114hhrg21377.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21377/html/CHRG-114hhrg21377.htm
114th Congress (2015 - 2016),House Hearings,Committee on Ways and Means,6/22/2016,"b'House Hearing, 114th Congress - THE 2016 ANNUAL REPORT OF THE SOCIAL SECURITY BOARD OF TRUSTEES'",CHRG-114hhrg21378.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21378/html/CHRG-114hhrg21378.htm
114th Congress (2015 - 2016),House Hearings,Committee on Energy and Commerce,6/10/2016,"b'House Hearing, 114th Congress - HOME APPLIANCE ENERGY EFFICIENCY STANDARDS UNDER THE DEPARTMENT OF ENERGY: STAKEHOLDER PERSPECTIVES'",CHRG-114hhrg21381.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21381/html/CHRG-114hhrg21381.htm
114th Congress (2015 - 2016),House Hearings,Committee on Appropriations,2/25/2016,"b'House Hearing, 114th Congress, Part 5 - AGRICULTURE, RURAL DEVELOPMENT, FOOD AND DRUG ADMINISTRATION, AND RELATED AGENCIES APPROPRIATIONS...'",CHRG-114hhrg21398.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21398/html/CHRG-114hhrg21398.htm
114th Congress (2015 - 2016),House Hearings,Congressional-Executive Commission on China,10/6/2016,"b'House Hearing, 114th Congress - CONGRESSIONAL-EXECUTIVE COMMISSION ON CHINA ANNUAL REPORT 2016'",CHRG-114hhrg21471.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21471/html/CHRG-114hhrg21471.htm
114th Congress (2015 - 2016),House Hearings,Committee on Energy and Commerce,6/14/2016,"b'House Hearing, 114th Congress - Combating Superbugs: U.s. Public Health Responses to Antibiotic Resistance'",CHRG-114hhrg21484.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21484/html/CHRG-114hhrg21484.htm
114th Congress (2015 - 2016),House Hearings,Committee on Homeland Security,2/10/2016,"b'House Hearing, 114th Congress - NATIONAL SECURITY AND LAW ENFORCEMENT: BREAKING THE NEW VISA WAIVER LAW TO APPEASE IRAN'",CHRG-114hhrg21523.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21523/html/CHRG-114hhrg21523.htm
114th Congress (2015 - 2016),House Hearings,Committee on Homeland Security,2/11/2016,"b'House Hearing, 114th Congress - THE FUTURE OF IRANIAN TERROR AND ITS THREAT TO THE U.S. HOMELAND'",CHRG-114hhrg21525.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21525/html/CHRG-114hhrg21525.htm
114th Congress (2015 - 2016),House Hearings,Committee on Education and the Workforce,9/21/2016,"b'House Hearing, 114th Congress - SUPPLANTING THE LAW AND LOCAL EDUCATION AUTHORITY THROUGH REGULATORY FIAT'",CHRG-114hhrg21538.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21538/html/CHRG-114hhrg21538.htm
114th Congress (2015 - 2016),House Hearings,Committee on Foreign Affairs,9/15/2016,"b""House Hearing, 114th Congress - NICARAGUA'S DEMOCRATIC COLLAPSE""",CHRG-114hhrg21546.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21546/html/CHRG-114hhrg21546.htm
114th Congress (2015 - 2016),House Hearings,Committee on Foreign Affairs,9/22/2016,"b'House Hearing, 114th Congress - DIPLOMACY AND SECURITY IN THE SOUTH CHINA SEA: AFTER THE TRIBUNAL'",CHRG-114hhrg21606.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21606/html/CHRG-114hhrg21606.htm
114th Congress (2015 - 2016),House Hearings,Committee on Natural Resources,9/21/2016,"b""House Hearing, 114th Congress - OVERSIGHT HEARING ON THE IMPACTS OF THE OBAMA CEQ'S FINAL GUIDANCE FOR GHG EMISSIONS AND THE...""",CHRG-114hhrg21615.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21615/html/CHRG-114hhrg21615.htm
114th Congress (2015 - 2016),House Hearings,Committee on Transportation and Infrastructure,9/21/2016,"b""House Hearing, 114th Congress - AN EXAMINATION OF THE FEDERAL EMERGENCY MANAGEMENT AGENCY'S LIMITED ROLE IN LOCAL LAND-USE...""",CHRG-114hhrg21645.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21645/html/CHRG-114hhrg21645.htm
114th Congress (2015 - 2016),House Hearings,Committee on Transportation and Infrastructure,9/15/2016,"b""House Hearing, 114th Congress - A Review of Recently Completed United States Army Corps of Engineers Chief's Reports, Part 3""",CHRG-114hhrg21646.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21646/html/CHRG-114hhrg21646.htm
114th Congress (2015 - 2016),House Hearings,Committee on Transportation and Infrastructure,9/28/2016,"b'House Hearing, 114th Congress - Department of Veterans Affairs Leases: Is the Va Overpaying for Leased Medical Facilities?'",CHRG-114hhrg21647.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21647/html/CHRG-114hhrg21647.htm
114th Congress (2015 - 2016),House Hearings,Committee on Agriculture,9/22/2016,"b'House Hearing, 114th Congress - REHABILITATION OF THE CHESAPEAKE BAY: HEALING THE BAY THE VOLUNTARY WAY'",CHRG-114hhrg21657.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21657/html/CHRG-114hhrg21657.htm
114th Congress (2015 - 2016),House Hearings,Committee on Appropriations,2/11/2016,"b'House Hearing, 114th Congress, Part 6 - Financial Services and General Government Appropriations for 2017'",CHRG-114hhrg21682.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21682/html/CHRG-114hhrg21682.htm
